Date,Sediment - Fine_136106A_kilograms
2012-01-26,224.805178990537
2012-01-27,387.362450314395
2012-01-28,808.57910101584
2012-01-29,1216.70106954939
2012-01-30,6506.56653350609
2012-01-31,29722.6717663039
2012-02-01,57430.4087394668
2012-02-02,68531.2221503659
2012-02-03,64432.245328834
2012-02-04,53878.93761704
2012-02-05,42682.7233725656
2012-02-06,33003.4581299468
2012-02-07,25334.7813679565
2012-02-08,20441.6854298035
2012-02-09,16194.9532009278
2012-02-10,12913.540370811
2012-02-11,10451.8668065876
2012-02-12,8635.78117688208
2012-02-13,10463.3167657914
2012-02-14,10954.4077022498
2012-02-15,10664.2148304445
2012-02-16,10017.8406442519
2012-02-17,9161.58348641094
2012-02-18,8178.05172817009
2012-02-19,7166.38925243824
2012-02-20,6230.68094983593
2012-02-21,5348.44715466181
2012-02-22,5631.60760930116
2012-02-23,5350.6998033278
2012-02-24,5066.04347734763
2012-02-25,4730.05703890836
2012-02-26,4962.88983348912
2012-02-27,28220.5814629717
2012-02-28,135477.09550428
2012-02-29,203316.693052642
2012-03-01,185118.684607602
2012-03-02,138347.987414903
2012-03-03,96365.6038440465
2012-03-04,66156.302587557
2012-03-05,45891.6122962183
2012-03-06,32436.1751447273
2012-03-07,23698.1317151553
2012-03-08,17695.6766104126
2012-03-09,13486.7016748744
2012-03-10,10488.1790893413
2012-03-11,8309.40570056285
2012-03-12,6679.22067705692
2012-03-13,5443.45888334838
2012-03-14,4490.01378230368
2012-03-15,3751.97818050313
2012-03-16,3164.62795287526
2012-03-17,2680.02638270695
2012-03-18,4339.92204112916
2012-03-19,6379.65347594665
2012-03-20,13208.2514712918
2012-03-21,20271.3935761089
2012-03-22,49698.5469330099
2012-03-23,1080008.61503319
2012-03-24,2625008.88357265
2012-03-25,2099601.08479517
2012-03-26,1184219.49803859
2012-03-27,634973.921144807
2012-03-28,355103.076010119
2012-03-29,211740.18219242
2012-03-30,134235.315158494
2012-03-31,89570.9751585223
2012-04-01,62336.7357709899
2012-04-02,44873.0921251988
2012-04-03,33216.5594170024
2012-04-04,25191.2598541868
2012-04-05,19501.5327044765
2012-04-06,15391.8812485077
2012-04-07,12349.144939968
2012-04-08,10088.1617116745
2012-04-09,8353.47781587651
